Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
8497,2210,3,1368.55
9535,2931,1,7311.66
9540,2932,3,168.66
5633,357,3,22.3
6358,763,3,4768.7
7256,1320,3,589.37
8175,2007,1,169.15
9031,2562,1,1241.63
6371,772,3,5473.39
6590,897,1,116.53
7442,1463,2,1322.57
9561,2954,3,14992.42
6019,573,3,340.4
5414,236,3,802.74
5608,345,3,10861.41
5985,552,3,1291.75
7227,1294,1,213.06
7276,1333,1,408.69
5796,450,3,7009.8
6443,812,1,11017.8
6567,880,1,64.37
8621,2288,2,371.33
6203,680,3,1855.08
6471,828,1,992.02
8078,1933,1,114.06
8669,2318,3,811.49
9414,2843,1,507.12
5708,402,1,1205.06
5878,495,1,95.44
6216,687,1,213.68
6002,565,1,1718.54
5022,21,2,445.73
5672,380,1,211.88
7041,1176,1,56.94
7937,1837,3,1303.33
5199,116,3,1431.77
5723,410,3,4527.31
5800,452,3,487.31
6024,576,1,2099.4
6673,949,1,471.15
6990,1145,1,78.3
7682,1653,1,276.61
5788,446,3,401.79
5961,540,3,189.41
6104,623,1,286.11
6138,643,1,345.76
6752,997,1,631.29
9035,2564,2,5426.63
9360,2798,1,317.4
6665,945,1,302.17
7918,1822,2,403.86
8577,2259,3,2198.33
8746,2368,3,344.05
5079,53,3,4282.34
5810,457,3,2318.79
7510,1518,2,1832.14
8391,2147,3,359.96
8414,2160,3,2647.65
5515,292,3,735.92
8444,2179,1,22.31
8620,2287,3,294.58
9425,2849,3,233.82
4987,2,3,269.09
6290,726,3,425.44
7643,1622,3,3775.34
7649,1627,3,1761.45
8003,1889,1,86.22
8080,1934,1,171.37
5568,322,3,217.47
6523,854,3,344.8
7799,1734,1,1918.78
8064,1924,1,165.23
8692,2333,2,445.1
5372,210,3,316.21
5909,512,3,1176.68
6919,1099,3,3230.25
7876,1784,1,3317.81
6021,574,3,396.53
6113,629,3,2590.44
6632,922,1,129.12
7545,1553,2,61.92
9565,2956,1,97.89
5805,455,1,52.01
7467,1478,3,1978.61
7886,1794,2,1859.49
7968,1859,3,204.01
8159,1994,3,10314.69
8316,2100,2,798.57
8427,2168,3,1334.27
5529,300,1,381.98
8154,1990,3,323.19
9406,2838,2,12454.2
9423,2848,3,1112.56
9444,2863,2,395.91
6543,865,3,3237.16
5931,524,3,1275.65
6450,815,3,14315.47
8199,2022,3,399.53
8643,2303,1,39.71
5229,131,1,52.16
5632,357,1,4.46
5682,388,1,714.14
5802,453,3,682.84
6177,663,1,732.54
6520,853,2,3210.02
7181,1265,1,10.15
8541,2237,1,515.22
5680,387,1,60.31
5812,458,3,786.67
5888,500,1,435.52
6119,632,3,1086.13
6668,946,3,1335.34
6675,950,1,138.23
7764,1710,3,4440.71
8478,2199,3,3047.86
9153,2640,2,1521.59
6035,581,3,5574.25
6218,687,3,1068.4
7089,1204,3,1439.63
8587,2266,1,7.26
9269,2739,1,1210.73
5254,143,3,610.4
5797,451,1,99.09
6819,1034,3,182.2
7006,1155,3,10036.06
7842,1760,1,265.15
