Id_Oficio_Asignacion,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
124,DGOP/0088/CONT/2018,DGOP/0088/CONT/2018,May  9 2018 12:00AM,724,,78,,Obra,1,78,Construcción
125,DGOP/0108/CONT/2018,DGOP/0108/CONT/2018,May 15 2018 12:00AM,120,588,53,,Obra,1,53,Construcción
126,DGOP/0132/CONT/2018,DGOP/0132/CONT/2018,May 28 2018 12:00AM,720,,72,,Obra,1,72,Construcción
127,DGOP/0130/CONT/2018,DGOP/0130/CONT/2018,May 28 2018 12:00AM,207,,82,,Obra,1,82,Construcción
128,DGOP/0133/CONT/2018,DGOP/0133/CONT/2018,Jun 15 2018 12:00AM,505,,55,,Obra,1,55,Construcción
129,DGOP/0120/PROY/2018,DGOP/0120/PROY/2018,May 28 2018 12:00AM,529,,75,,Obra,1,75,Proyectos
130,DGOP/0119/PROY/2018,DGOP/0119/PROY/2018,May 28 2018 12:00AM,529,,75,,Obra,1,75,Proyectos
131,DGOP/0127/CONT/2018,DGOP/0127/CONT/2018,May 28 2018 12:00AM,604,748,59,,Obra,1,54,Construcción
132,DGOP/0092/CONT/2018,DGOP/0092/CONT/2018,May  9 2018 12:00AM,347,352,80,,Obra,1,80,Construcción
133,DGOP/0095/CONT/2018,DGOP/0095/CONT/2018,May 10 2018 12:00AM,493,749,80,,Obra,1,80,Construcción
134,DGOP/0093/CONT/2018,DGOP/0093/CONT/2018,May 10 2018 12:00AM,505,749,80,,Obra,1,80,Construcción
135,DGOP/0098/CONT/2018,DGOP/0098/CONT/2018,May 10 2018 12:00AM,16,30,80,,Obra,1,80,Construcción
136,DGOP/0097/CONT/2018,DGOP/0097/CONT/2018,Jun 15 2018 12:00AM,750,352,80,,Obra,1,80,Construcción
137,DGOP/0082/CONT/2018,DGOP/0082/CONT/2018,May 25 2018 12:00AM,661,613,53,,Obra,1,53,Construcción
138,DGOP/0081/CONT/2018,DGOP/0081/CONT/2018,May 25 2018 12:00AM,365,613,53,,Obra,1,53,Construcción
139,DGOP/0110/CONT/2018,DGOP/0110/CONT/2018,Jun 15 2018 12:00AM,543,751,53,,Obra,1,53,Construcción
140,DGOP/0109/CONT/2018,DGOP/0109/CONT/2018,May 15 2018 12:00AM,460,752,53,,Obra,1,53,Construcción
141,DGOP/0084/CONT/2018,DGOP/0084/CONT/2018,May  8 2018 12:00AM,709,653,53,,Obra,1,53,Construcción
142,DGOP/0123/CONT/2018,DGOP/0123/CONT/2018,May 28 2018 12:00AM,672,753,88,,Obra,1,61,Construcción
143,DGOP/0125/CONT/2018,DGOP/0125/CONT/2018,May 28 2018 12:00AM,365,754,60,,Obra,1,61,Construcción
145,DGOP/0083/CONT/2018,DGOP/0083/CONT/2018,May  8 2018 12:00AM,706,653,53,,Obra,1,53,Construcción
146,DGOP/0121/CONT/2018,DGOP/0121/CONT/2018,May 28 2018 12:00AM,237,756,56,,Obra,1,53,Construcción
147,DGOP/0122/CONT/2018,DGOP/0122/CONT/2018,May 28 2018 12:00AM,13,756,56,,Obra,1,53,Construcción
148,DGOP/0143/CONT/2018,DGOP/0143/CONT/2018,Jun  6 2018 12:00AM,666,309,55,,Obra,2,55,Construcción
