Id_Estimacion_Amortizacion_Desglose,Id_Estimacion,Id_Contrato_Ampliacion,Concepto,Importe_Contratado,Actual,Anterior,Acumulado,Por_Ejercer,Porcentaje_Anticipo,Importe_Anticipo,Actual_Amortizacion,Anterior_Amortizacion,Acumulado_Amortizacion,Por_Amortizar
190,710,21,AMPLIACIÓN 1,26829.13,0,0,0,26829.13,0,0,0,0,0,0
191,1011,,CONTRATO,224025.88,4048.99,219976.89,224025.88,0,30,67207.76,1214.69,65993.07,67207.76,0
192,1011,21,AMPLIACIÓN 1,26829.13,14587.27,0,14587.27,12241.86,0,0,0,0,0,0
193,77,,CONTRATO,308389.54,113107.55,0,113107.55,195281.99,30,92516.86,33932.27,0,33932.27,58584.59
194,474,,CONTRATO,308389.54,160545.5,113107.55,273653.05,34736.49,30,92516.86,48163.65,33932.27,82095.92,10420.94
195,3,,CONTRATO,92577.06,76803.82,0,76803.82,15773.24,0,0,0,0,0,0
196,14,,CONTRATO,92577.06,1466.98,76803.82,78270.8,14306.26,0,0,0,0,0,0
197,38,,CONTRATO,306759.12,163610.56,0,163610.56,143148.56,30,92027.74,49083.17,0,49083.17,42944.57
198,39,,CONTRATO,306759.12,108840.48,163610.56,272451.04,34308.08,30,92027.74,32652.14,49083.17,81735.31,10292.43
199,767,,CONTRATO,306759.12,33186.63,272451.04,305637.67,1121.45,30,92027.74,10292.43,81735.31,92027.74,0
200,43,,CONTRATO,251320.84,116573.04,0,116573.04,134747.8,30,75396.25,34971.91,0,34971.91,40424.34
201,499,,CONTRATO,251320.84,134605.83,116573.04,251178.87,141.97,30,75396.25,40424.34,34971.91,75396.25,0
202,91,,CONTRATO,750836.61,99320.73,0,99320.73,651515.88,30,225250.98,29796.22,0,29796.22,195454.76
203,221,,CONTRATO,750836.61,112867.8,99320.73,212188.53,538648.08,30,225250.98,33860.34,29796.22,63656.56,161594.42
204,246,,CONTRATO,750836.61,118841.78,212188.53,331030.31,419806.3,30,225250.98,35652.53,63656.56,99309.09,125941.89
205,354,,CONTRATO,750836.61,194439.87,331030.31,525470.18,225366.43,30,225250.98,58331.96,99309.09,157641.05,67609.93
206,970,,CONTRATO,750836.61,174103.08,525470.18,699573.26,51263.35,30,225250.98,67609.93,157641.05,225250.98,0
207,436,,CONTRATO,31907942.32,21936.1,0,21936.1,31886006.22,30,9572382.7,6580.83,0,6580.83,9565801.87
208,436,35,AMPLIACIÓN 1,8043016.73,0,0,0,8043016.73,30,2412905.02,0,0,0,2412905.02
209,436,104,AMPLIACIÓN 2,4258078.75,0,0,0,4258078.75,0,0,0,0,0,0
210,436,105,AMPLIACIÓN 3,2651607.33,0,0,0,2651607.33,0,0,0,0,0,0
