Id_Estimacion_Deduccion,Id_Estimacion,Id_Descuento,Monto_Deduccion
12070,696,3,736.49
12079,699,1,1573.83
12080,699,3,7869.13
12085,700,1,568.64
12086,700,3,2843.22
12091,701,1,487.67
12092,701,3,2438.36
12095,702,1,1772.68
12096,702,3,8863.38
12097,593,1,457.91
12098,593,3,2289.55
12103,703,1,163.94
12104,703,3,819.69
12108,704,2,2261.19
12111,705,1,319.74
12112,705,3,1598.68
12115,706,1,1619.72
12116,706,3,8098.58
12119,707,1,3441.17
12120,707,3,17205.87
12121,708,4,1490.22
12122,709,4,352.83
12126,711,1,260.68
12127,711,3,1303.4
12135,714,1,205.65
12136,714,3,1028.27
12137,713,1,700.13
12138,713,3,3500.67
12141,716,1,50.91
12142,716,3,254.54
12149,718,1,529.29
12150,718,3,2646.43
12153,719,1,1002.32
12154,719,3,5011.62
12157,720,1,156.46
12158,720,3,782.3
12159,721,1,415.32
12160,721,3,2076.61
12165,723,1,640.8
12166,723,3,3204.01
12171,724,1,82.1
12172,724,3,410.49
12173,725,1,198.89
12174,725,3,994.44
12179,726,1,295.8
12180,726,3,1478.98
12181,727,1,875.24
12182,727,3,4376.2
12185,728,1,168.33
12186,728,3,841.64
12189,729,1,70.62
12190,729,3,353.09
12191,730,1,594.24
12192,730,3,2971.18
12193,731,1,509.82
12194,731,3,2549.1
12195,732,1,66.25
12196,732,3,331.26
12199,733,1,350.8
12200,733,3,1753.98
12201,697,1,476.13
12202,697,3,2380.65
12203,734,1,376.76
12204,734,3,1883.82
12207,735,1,1190.07
12208,735,3,5950.34
12211,736,1,2231.85
12212,736,3,11159.24
12231,741,1,241.77
12232,741,3,1208.84
12239,743,1,213.56
12240,743,3,1067.78
12243,744,1,536.28
12244,744,3,2681.39
12247,745,1,248
12248,745,3,1240
12255,746,1,283.45
12256,746,3,1417.27
12261,747,1,723.49
12262,747,3,3617.47
12263,748,1,1066.17
12264,748,3,5330.83
12265,749,1,22.78
12266,749,3,113.88
12267,750,1,107.57
12268,750,3,537.84
12271,751,1,1030.18
12272,751,3,5150.9
12277,752,1,313.46
12278,752,3,1567.28
12295,757,1,1136.08
12296,757,3,5680.41
12301,759,1,182.44
12302,759,3,912.2
12305,740,1,198.36
12306,740,3,991.79
12307,760,1,66.46
12308,760,3,332.31
12313,761,1,1591.64
12314,761,3,7958.2
12317,762,1,801.13
12318,762,3,4005.65
12319,763,1,235.6
12320,763,3,1178.01
12321,648,1,749.55
12322,648,3,3747.77
12325,764,1,1277.81
12326,764,3,6389.06
12329,765,1,792.48
12330,765,3,3962.39
12333,698,1,467.86
12334,698,3,2339.32
12335,652,1,478.79
12336,652,3,2393.96
12339,669,1,383.65
12340,669,3,1918.26
12354,770,2,426.69
12355,771,2,188.93
12358,657,1,104.53
12359,657,3,522.63
12362,773,1,110.04
12363,773,3,550.21
12366,774,1,278.22
12367,774,3,1391.08
12372,776,4,32.75
12377,778,2,229.97
12379,779,4,16.81
12381,780,4,141.99
12388,781,1,283.45
12389,781,3,1417.26
12398,782,1,546.38
12399,782,3,2731.92
12402,508,1,991.5
12403,508,3,4957.51
12404,784,1,1469.29
12405,784,3,7346.44
12406,785,1,745.41
12407,785,3,3727.05
12410,786,1,326.92
12411,786,3,1634.61
12418,787,1,116.49
12419,787,3,582.45
12422,754,1,185.96
12423,754,3,929.82
12426,789,1,271.63
12427,789,3,1358.13
12430,790,1,660.42
12431,790,3,3302.09
12434,792,4,202.03
12435,793,4,126.7
12438,794,1,17.67
12439,794,3,88.33
12448,796,1,717.95
12449,796,3,3589.77
12450,797,1,694.03
12451,797,3,3470.13
12454,799,1,816.38
12455,799,3,4081.91
12456,798,1,606.54
12457,798,3,3032.68
12458,800,4,116.65
12459,801,4,312.79
12462,802,4,3.35
12464,803,4,2.59
12467,804,1,883.98
12468,804,3,4419.9
12470,805,4,55.08
12473,806,1,205.51
12474,806,3,1027.53
12475,807,4,77.73
12495,809,1,201.24
12496,809,3,1006.2
12505,811,1,1132.91
12506,811,3,5664.53
12513,812,1,655.44
12514,812,3,3277.18
12515,813,1,11.16
12516,813,3,55.8
12519,814,1,605.62
12520,814,3,3028.12
12523,815,1,362.78
12524,815,3,1813.9
12527,816,1,1100.76
12528,816,3,5503.78
12533,818,1,742.34
12534,818,3,3711.7
12539,819,1,362.97
12540,819,3,1814.85
12543,821,2,8144.49
12544,777,1,305.62
12545,777,3,1528.11
12548,822,1,738.73
12549,822,3,3693.67
12550,586,1,221.63
12551,586,3,1108.13
12552,823,4,23.78
22543,824,4,54.78
22544,825,4,14.64
22545,826,4,44.86
22548,827,1,876.34
22549,827,3,4381.7
22550,828,2,1617.69
22551,829,1,682.47
22552,829,3,3412.35
22554,831,1,149.96
22555,831,3,749.82
22556,832,4,95.14
22559,833,4,3.35
22562,835,4,18.53
22570,839,1,76.55
22571,839,3,382.73
22578,843,1,44.66
22579,843,3,223.29
22580,844,2,8822.18
22582,846,3,3842.74
22583,846,1,768.55
22586,848,1,115.85
22587,848,3,579.24
22591,851,1,13.22
22592,851,3,66.1
22593,852,4,162.9
22594,853,4,74.3
22595,854,1,214.86
22596,854,3,1074.29
22597,855,4,242.88
22598,856,4,209.67
22599,857,1,110.18
22600,857,3,550.89
22601,858,1,164.68
22602,858,3,823.38
22603,859,1,138.15
22604,859,3,690.77
22606,861,1,23.43
22607,861,3,117.14
22608,862,4,83.37
22609,863,4,31.44
22610,864,4,21.23
22611,865,1,158.71
22612,865,3,793.54
22613,866,4,88.9
22614,867,4,230.43
22615,868,1,812.61
22616,868,3,4063.05
22619,869,1,855.88
22620,869,3,4279.38
22622,870,4,518.13
22623,871,1,1557.87
22624,871,3,7789.36
22625,872,4,32.81
22626,873,1,322.83
22627,873,3,1614.15
22628,874,1,164.01
22629,874,3,820.07
22630,875,1,517
22631,875,3,2584.99
22635,876,4,98.84
22636,877,4,227.95
22637,878,1,188.21
22638,878,3,941.06
22641,881,4,441.8
22642,882,4,55.99
22644,884,2,253.93
22649,887,2,1754.68
22650,888,2,6243.85
