Id_Fuera_Catalogo,Id_Contrato,Fecha_Registro,Fecha_Ultima_Autorizada,Fecha_Instruccion_Bitacora,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Estatus
515,213,24/11/2016 15:19,24/12/2016 00:00,25/10/2016 00:00,610/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
516,133,25/11/2016 14:32,05/11/2016 00:00,31/10/2016 00:00,611/2016,07/11/2016 00:00,AUTORIZADO,TÉRMINADO
517,119,28/11/2016 11:49,07/12/2016 00:00,07/11/2016 00:00,612/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
518,126,28/11/2016 12:00,07/01/2017 00:00,09/11/2016 00:00,613/2016,22/11/2016 00:00,AUTORIZADO,TÉRMINADO
519,96,28/11/2016 13:47,06/12/2016 00:00,10/10/2016 00:00,614/2016,04/11/2016 00:00,AUTORIZADO,TÉRMINADO
520,77,29/11/2016 09:09,19/11/2016 00:00,04/11/2016 00:00,591/2016,17/11/2016 00:00,AUTORIZADO,TÉRMINADO
521,62,29/11/2016 10:23,17/11/2016 00:00,14/11/2016 00:00,615/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
522,62,29/11/2016 10:24,17/11/2016 00:00,15/11/2016 00:00,617/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
523,70,29/11/2016 10:36,26/12/2016 00:00,08/11/2016 00:00,616/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
524,67,29/11/2016 12:11,08/10/2016 00:00,19/09/2016 00:00,519-1/2016,10/10/2016 00:00,AUTORIZADO,TÉRMINADO
525,213,29/11/2016 15:13,24/12/2016 00:00,09/11/2016 00:00,618/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
526,93,30/11/2016 12:35,24/11/2016 00:00,12/11/2016 00:00,621/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
527,83,30/11/2016 12:41,30/11/2016 00:00,29/08/2016 00:00,619/2016,17/10/2016 00:00,AUTORIZADO,TÉRMINADO
528,83,30/11/2016 12:42,30/11/2016 00:00,29/08/2016 00:00,620/2016,28/10/2016 00:00,AUTORIZADO,TÉRMINADO
529,79,30/11/2016 14:56,22/10/2016 00:00,14/11/2016 00:00,622/2016,25/11/2016 00:00,AUTORIZADO,TÉRMINADO
530,187,30/11/2016 16:04,22/11/2016 00:00,15/11/2016 00:00,623/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
531,213,01/12/2016 08:28,24/12/2016 00:00,25/10/2016 00:00,624/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
532,214,01/12/2016 08:51,03/12/2016 00:00,09/11/2016 00:00,625/2016,25/11/2016 00:00,AUTORIZADO,TÉRMINADO
536,195,01/12/2016 12:49,21/11/2016 00:00,11/11/2016 00:00,629/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
537,105,01/12/2016 14:43,05/11/2016 00:00,04/11/2016 00:00,630/2016,22/11/2016 00:00,AUTORIZADO,TÉRMINADO
538,121,02/12/2016 08:55,17/12/2016 00:00,06/10/2016 00:00,632/2016,13/10/2016 00:00,AUTORIZADO,TÉRMINADO
539,93,02/12/2016 09:29,24/11/2016 00:00,12/11/2016 00:00,621-1/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
540,105,02/12/2016 09:45,05/11/2016 00:00,04/11/2016 00:00,631/2016,18/11/2016 00:00,AUTORIZADO,TÉRMINADO
541,187,02/12/2016 11:09,22/11/2016 00:00,15/11/2016 00:00,633/2016,28/11/2016 00:00,AUTORIZADO,TÉRMINADO
542,163,06/12/2016 14:47,06/02/2017 00:00,16/11/2016 00:00,628/2016,01/12/2016 00:00,AUTORIZADO,TÉRMINADO
543,83,07/12/2016 13:24,30/11/2016 00:00,25/11/2016 00:00,634/2016,05/12/2016 00:00,AUTORIZADO,TÉRMINADO
544,128,07/12/2016 13:38,30/11/2016 00:00,25/11/2016 00:00,636/2016,07/12/2016 00:00,AUTORIZADO,TÉRMINADO
