Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000244,2018,DGOP/0212/CONT/2018,DGOP/0212/CONT/2018,2018-07-27 00:00:00,0000000310,0000000766,0000000059,,Obra,0000000001,0000000054,Construcción
0000000245,2018,DGOP/0214/CONT/2018,DGOP/0214/CONT/2018,2018-07-27 00:00:00,0000000539,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000246,2018,DGOP/0217/CONT/2018,DGOP/0217/CONT/2018,2018-08-07 00:00:00,0000000689,,0000000023,,Proyecto,0000000001,0000000023,Construcción
0000000247,2018,DGOP/0218/PROY/2018,DGOP/0218/PROY/2018,2018-08-07 00:00:00,0000000094,,0000000089,,Obra,0000000001,0000000089,Proyectos
0000000248,2018,DGOP/0219/PROY/2018,DGOP/0219/PROY/2018,2018-08-07 00:00:00,0000000086,,0000000055,,Proyecto,0000000001,0000000054,Proyectos
0000000249,2018,DGOP/0220/PROY/2018,DGOP/0220/PROY/2018,2018-08-07 00:00:00,0000000103,,0000000055,,Proyecto,0000000001,0000000055,Proyectos
0000000250,2018,DGOP/0228/CONT/2018,DGOP/0228/CONT/2018,2018-08-07 00:00:00,0000000543,0000000754,0000000056,,Obra,0000000004,0000000061,Construcción
0000000251,2018,DGOP/0085/CONT/2018,DGOP/0085/CONT/2018,2018-05-08 00:00:00,0000000302,0000000751,0000000095,,Obra,0000000001,0000000056,Construcción
0000000252,2018,DGOP/0215/CONT/2018,DGOP/0215/CONT/2018,2018-07-27 00:00:00,0000000515,0000000229,0000000095,,Obra,0000000001,0000000095,Construcción
0000000253,2018,F/014-I/2018,F/014-I/2018,2018-09-12 00:00:00,0000000770,,0000000057,,Obra,0000000002,0000000057,Construcción
0000000255,2018,DGOP/0240/CONT/2018,DGOP/0240/CONT/2018,2018-09-17 00:00:00,0000000514,,0000000095,,Obra,0000000002,0000000095,Construcción
0000000256,2018,DGOP/0241/CONT/2018,DGOP/0241/CONT/2018,2018-09-17 00:00:00,0000000514,,0000000095,,Obra,0000000002,0000000095,Construcción
0000000257,2018,DGOP/0242/CONT/2018,DGOP/0242/CONT/2018,2018-09-17 00:00:00,0000000706,0000000748,0000000095,,Obra,0000000002,0000000095,Construcción
0000000258,2018,DGOP/0243/CONT/2018,DGOP/0243/CONT/2018,2018-09-17 00:00:00,0000000365,0000000748,0000000095,,Obra,0000000002,0000000095,Construcción
0000000259,2018,DGOP/0244/CONT/2018,DGOP/0244/CONT/2018,2018-09-17 00:00:00,0000000661,0000000748,0000000095,,Obra,0000000002,0000000095,Construcción
0000000260,2018,DGOP/0245/CONT/2018,DGOP/0245/CONT/2018,2018-09-17 00:00:00,0000000514,0000000759,0000000095,,Obra,0000000002,0000000095,Construcción
0000000261,2018,DGOP/0254/CONT/2018,DGOP/0254/CONT/2018,2018-09-17 00:00:00,0000000365,,0000000095,,Obra,0000000001,0000000095,Construcción
0000000262,2018,DGOP/0268/CONT/2018,DGOP/0268/CONT/2018,2018-09-17 00:00:00,0000000365,0000000613,0000000095,,Obra,0000000002,0000000078,Construcción
0000000263,2018,DGOP/0269/CONT/2018,DGOP/0269/CONT/2018,2018-09-17 00:00:00,0000000709,0000000759,0000000095,,Obra,0000000002,0000000095,Construcción
0000000264,2018,DGOP/0270/CONT/2018,DGOP/0270/CONT/2018,2018-09-17 00:00:00,0000000661,0000000588,0000000095,,Obra,0000000002,0000000095,Construcción
0000000265,2018,DGOP/0271/CONT/2018,DGOP/0271/CONT/2018,2018-09-17 00:00:00,0000000709,0000000588,0000000095,,Obra,0000000002,0000000095,Construcción
0000000266,2018,DGOP/0272/CONT/2018,DGOP/0272/CONT/2018,2018-09-17 00:00:00,0000000698,0000000529,0000000095,,Obra,0000000002,0000000095,Construcción
0000000267,2018,DGOP/0273/CONT/2018,DGOP/0273/CONT/2018,2018-09-17 00:00:00,0000000698,0000000653,0000000095,,Obra,0000000002,0000000095,Construcción
0000000268,2018,DGOP/0216/CONT/2018,DGOP/0216/CONT/2018,2018-09-17 00:00:00,0000000515,0000000229,0000000058,,Obra,0000000001,0000000095,Construcción
0000000269,2018,DGOP/0199/CONT/2018,DGOP/0199/CONT/2018,2018-09-17 00:00:00,0000000566,0000000774,0000000056,,Obra,0000000002,0000000061,Construcción
